,Home team name,Away team name,Outcome,Home score,Away score,Home rating,Away rating,Home odds,Draw odds,Away odds,Home xG,Away xG,Home possession,Away possession,Home lineups,Away lineups,Home Formation,Away formation
109,Schalke,Arminia Bielefeld,2,0,1,6.7,7.3,2.30,3.25,3.20,48%,52%,11,8,"['Fahrmann', 'Stambouli', 'Kabak', 'Sane', 'Oczipka', 'Schopf', 'Mascarell', 'Serdar', 'Mendyl', 'Boujellab', 'Raman']","['Ortega', 'Brunner', 'Pieper', 'van der Hoorn', 'De Medina', 'Doan', 'Prietl', 'Hartel', 'Gebauer', 'Klos', 'Cordova']",4 - 4 - 2,4 - 4 - 2
110,RB Leipzig,FC Koln,0,0,0,6.9,7.0,,,,,41%,14,4,"['Gulacsi', 'Mukiele', 'Orban', 'Upamecano', 'Halstenberg', 'Adams', 'Kampl', 'Haidara', 'Sabitzer', 'Angelino', 'Poulsen']","['Horn', 'Wolf', 'Mere', 'Bornauw', 'Katterbach', 'Skhiri', 'Ozcan', 'Rexhbecaj', 'Thielmann', 'Duda', 'Drexler']",4 - 2 - 3 - 1,4 - 1 - 2 - 3
111,Mainz,Werder Bremen,2,0,1,6.8,7.2,,,,,54%,,13,"['Zentner', 'St. Juste', 'Hack', 'Niakhate', 'Fernandes', 'Boetius', 'Kunde', 'Stoger', 'Martin', 'Mateta', 'Quaison']","['Pavlenka', 'Gross', 'Toprak', 'Friedl', 'Gebre Selassie', 'Eggestein', 'Mohwald', 'Osako', 'Augustinsson', 'Sargent', 'Schmid']",3 - 5 - 2,3 - 5 - 2
112,B. Monchengladbach,Hoffenheim,2,1,2,6.6,7.1,,,,,,,,"['Sommer', 'Lainer', 'Ginter', 'Elvedi', 'Lazaro', 'Kramer', 'Neuhaus', 'Herrmann', 'Stindl', 'Thuram', 'Embolo']","['Baumann', 'Posch', 'Nordtveit', 'Vogt', 'Sessegnon', 'Geiger', 'Grillitsch', 'Skov', 'Kramaric', 'Baumgartner', 'Belfodil']",4 - 2 - 3 - 1,4 - 2 - 3 - 1
113,Augsburg,Eintracht Frankfurt,2,0,2,6.6,7.3,,,,,53%,15,15,"['Gikiewicz', 'Framberger', 'Gouweleeuw', 'Uduokhai', 'Iago', 'Richter', 'Khedira', 'Gruezo', 'Caligiuri', 'Finnbogason', 'Niederlechner']","['Trapp', 'Tuta', 'Hasebe', 'Hinteregger', 'Durm', 'Sow', 'Rode', 'Kostic', 'Barkok', 'Younes', 'Andre Silva']",4 - 4 - 2,3 - 4 - 2 - 1
114,Bayer Leverkusen,Bayern Munich,2,1,2,6.5,7.2,,,,,48%,,14,"['Hradecky', 'Dragovic', 'Tah', 'Tapsoba', 'Sinkgraven', 'Wirtz', 'Baumgartlinger', 'Amiri', 'Bailey', 'Schick', 'Diaby']","['Neuer', 'Sule', 'Boateng', 'Hernandez', 'Davies', 'Tolisso', 'Alaba', 'Coman', 'Muller', 'Gnabry', 'Lewandowski']",4 - 3 - 3,4 - 2 - 3 - 1
115,Freiburg,Hertha Berlin,1,4,1,7.2,6.5,,,2.75,42%,58%,17,10,"['Muller', 'Lienhart', 'Schlotterbeck', 'Gulde', 'Schmid', 'Santamaria', 'Hofler', 'Gunter', 'Sallai', 'Demirovic', 'Grifo']","['Schwolow', 'Pekarik', 'Boyata', 'Torunarigha', 'Mittelstadt', 'Stark', 'Darida', 'Guendouzi', 'Lukebakio', 'Piatek', 'Cunha']",3 - 4 - 3,4 - 1 - 2 - 3
116,Wolfsburg,Stuttgart,1,1,0,7.2,6.5,,,,,50%,13,9,"['Casteels', 'Baku', 'Lacroix', 'Pongracic', 'Paulo Otavio', 'Guilavogui', 'Gerhardt', 'Brekalo', 'Bialek', 'Steffen', 'Weghorst']","['Kobel', 'Stenzel', 'Anton', 'Kempf', 'Sosa', 'Mangala', 'Endo', 'Silas', 'Didavi', 'Gonzalez', 'Coulibaly']",4 - 2 - 3 - 1,4 - 2 - 3 - 1
117,Werder Bremen,Union Berlin,2,0,2,6.4,7.2,,,,,44%,,9,"['Pavlenka', 'Gebre Selassie', 'Toprak', 'Friedl', 'Augustinsson', 'Eggestein', 'Gross', 'Schmid', 'Osako', 'Bittencourt', 'Sargent']","['Luthe', 'Friedrich', 'Knoche', 'Hubner', 'Trimmel', 'Promel', 'Andrich', 'Ingvartsen', 'Lenz', 'Becker', 'Awoniyi']",4 - 2 - 3 - 1,3 - 5 - 2
118,Hoffenheim,Freiburg,2,1,3,6.5,7.2,,,,,29%,,8,"['Baumann', 'Akpoguma', 'Vogt', 'Adams', 'Sessegnon', 'Rudy', 'Samassekou', 'Bebou', 'Kramaric', 'Baumgartner', 'Belfodil']","['Muller', 'Lienhart', 'Schlotterbeck', 'Gulde', 'Schmid', 'Santamaria', 'Hofler', 'Gunter', 'Kwon', 'Demirovic', 'Grifo']",4 - 2 - 3 - 1,3 - 4 - 3
