,Home team name,Away team name,Outcome,Home score,Away score,Home rating,Away rating,Home odds,Draw odds,Away odds,Home xG,Away xG,Home possession,Away possession,Home lineups,Away lineups,Home Formation,Away formation
354,Clermont,Montpellier,1,2,1,7.3,6.5,1.65,4.20,4.75,49%,51%,12,11,"['Djoco', 'Zedadka', 'Seidu', 'Ogier', 'Nsimba', 'Abdul Samed', 'Gastien', 'Magnin', 'Dossou', 'Bayo', 'Rashani']","['Bertaud', 'Cozza', 'Sakho', 'Esteve', 'Souquet', 'Chotard', 'Leroy', 'Ristic', 'Mollet', 'Germain', 'Mavididi']",4 - 3 - 3,3 - 4 - 1 - 2
355,Angers,Bordeaux,1,4,1,7.4,6.3,2.40,3.50,2.80,41%,59%,13,7,"['Mandrea', 'Pereira Lage', 'Manceau', 'Traore', 'Ebosse', 'Doumbia', 'Fulgini', 'Bentaleb', 'Mendy', 'Bahoken', 'Cho']","['Costil', 'Guilavogui', 'Marcelo', 'Ahmedhodzic', 'Mensah', 'Onana', 'Fransergio', 'Mangas', 'Dilrosun', 'Niang', 'Oudin']",5 - 3 - 2,3 - 4 - 1 - 2
356,Lorient,Marseille,2,0,3,6.2,7.2,3.50,3.60,2.00,31%,69%,7,9,"['Dreyer', 'Mendes', 'Laporte', 'Morel', 'Igor Silva', 'Le Fee', 'Lemoine', 'Abergel', 'Le Goff', 'Moffi', 'Lauriente']","['Mandanda', 'Saliba', 'Caleta-Car', 'Luan Peres', 'Rongier', 'Kamara', 'Under', 'Guendouzi', 'Gueye', 'Gerson', 'Bakambu']",3 - 5 - 2,3 - 2 - 4 - 1
357,PSG,Troyes,0,2,2,7.1,6.8,1.16,7.50,15.00,64%,36%,17,10,"['Navas', 'Hakimi', 'Marquinhos', 'Kimpembe', 'Mendes', 'Pereira', 'Verratti', 'Di Maria', 'Messi', 'Neymar', 'Mbappe']","['Moulin', 'Kabore', 'Biancone', 'Palmer-Brown', 'Conte', 'Larouci', 'Ripart', 'Kouame', 'Tardieu', 'Chavalerin', 'Ugbo']",4 - 2 - 3 - 1,5 - 4 - 1
358,Nice,St Etienne,1,4,2,7.3,6.5,1.53,4.33,6.00,63%,37%,14,12,"['Benitez', 'Daniliuc', 'Todibo', 'Dante', 'Bard', 'Kluivert', 'Rosario', 'Lemina', 'Brahimi', 'Gouiri', 'Delort']","['Bernardoni', 'Macon', 'Sow', 'Moukoudi', 'Mangala', 'Gabriel', 'Nordin', 'Camara', 'Youssouf', 'Bouanga', 'Boudebouz']",4 - 4 - 2,5 - 4 - 1
359,Nantes,Rennes,1,2,1,7.3,6.8,5.50,4.50,1.53,30%,70%,9,17,"['Lafont', 'Corchia', 'Castelletto', 'Pallois', 'Fabio', 'Moutoussamy', 'Cyprien', 'Bukari', 'Blas', 'Geubbels', 'Coulibaly']","['Gomis', 'Traore', 'Omari', 'Santamaria', 'Truffert', 'Majer', 'Martin', 'Tait', 'Bourigeaud', 'Laborde', 'Terrier']",4 - 2 - 3 - 1,4 - 3 - 3
360,Troyes,Lens,2,1,3,6.4,7.3,3.80,3.60,1.95,48%,52%,6,15,"['Gallon', 'Kabore', 'Biancone', 'Palmer-Brown', 'Salmier', 'Conte', 'Ripart', 'Kouame', 'Tardieu', 'Chavalerin', 'Touzghar']","['Farinez', 'Gradit', 'Danso', 'Medina', 'Clauss', 'Doucoure', 'Fofana', 'Frankowski', 'Sotoca', 'Pereira da Costa', 'Kalimuendo']",5 - 4 - 1,3 - 4 - 2 - 1
361,Strasbourg,Clermont,1,1,0,7.5,6.7,1.40,4.75,7.50,56%,44%,11,11,"['Sels', 'Guilbert', 'Djiku', 'Nyamsi', 'Le Marchand', 'Lienard', 'Thomasson', 'Prcic', 'Bellegarde', 'Diallo', 'Gameiro']","['Djoco', 'Zedadka', 'Billong', 'Seidu', 'Nsimba', 'Busquets', 'Gastien', 'Da Cunha', 'Khaoui', 'Allevinah', 'Bayo']",5 - 3 - 2,4 - 2 - 3 - 1
362,St Etienne,Reims,2,1,2,6.7,7.4,1.95,3.50,3.80,55%,45%,16,17,"['Bernardoni', 'Sow', 'Mangala', 'Nade', 'Macon', 'Camara', 'Gourna-Douath', 'Trauco', 'Boudebouz', 'Bouanga', 'Khazri']","['Rajkovic', 'Foket', 'Faes', 'Abdelhamid', 'Locko', 'Kebbal', 'Munetsi', 'Matusiwa', 'Doumbia', 'van Bergen', 'Toure']",3 - 4 - 1 - 2,4 - 5 - 1
363,Rennes,Marseille,1,2,0,7.2,6.5,,3.75,3.80,40%,60%,12,8,"['Gomis', 'Traore', 'Omari', 'Aguerd', 'Truffert', 'Majer', 'Santamaria', 'Tait', 'Bourigeaud', 'Laborde', 'Terrier']","['Mandanda', 'Rongier', 'Saliba', 'Caleta-Car', 'Luan Peres', 'Guendouzi', 'Kamara', 'Gueye', 'Under', 'Harit', 'Gerson']",4 - 3 - 3,4 - 3 - 3
364,Nice,Lille,2,1,3,6.6,7.2,1.72,4.00,4.50,59%,41%,16,9,"['Benitez', 'Lotomba', 'Todibo', 'Dante', 'Bard', 'Boudaoui', 'Rosario', 'Lemina', 'Kluivert', 'Gouiri', 'Delort']","['Leo Jardim', 'Celik', 'Fonte', 'Djalo', 'Gudmundsson', 'Zhegrova', 'Onana', 'Gomes', 'Weah', 'David', 'Yilmaz']",4 - 4 - 2,4 - 4 - 2
365,Montpellier,PSG,2,0,4,6.0,7.6,9.00,6.50,1.28,30%,70%,10,15,"['Bertaud', 'Souquet', 'Thuler', 'Cozza', 'Esteve', 'Ristic', 'Mollet', 'Ferri', 'Chotard', 'Delaye', 'Mavididi']","['Donnarumma', 'Kehrer', 'Marquinhos', 'Ramos', 'Bernat', 'Wijnaldum', 'Verratti', 'Herrera', 'Di Maria', 'Messi', 'Mbappe']",5 - 4 - 1,4 - 3 - 3
