,Home team name,Away team name,Outcome,Home score,Away score,Home rating,Away rating,Home odds,Draw odds,Away odds,Home xG,Away xG,Home possession,Away possession,Home lineups,Away lineups,Home Formation,Away formation
23,Newcastle,Southampton,0,2,2,7.0,7.2,2.40,3.50,2.90,36%,64%,10,22,"['Woodman', 'Fernandez', 'Lascelles', 'Schar', 'Murphy', 'Willock', 'Longstaff', 'Almiron', 'Ritchie', 'Wilson', 'Saint-Maximin']","['McCarthy', 'Livramento', 'Stephens', 'Salisu', 'Walker-Peters', 'Elyounoussi', 'Ward-Prowse', 'Romeu', 'Djenepo', 'Adams', 'Armstrong']",3 - 5 - 2,4 - 4 - 2
24,Brighton,Everton,2,0,2,6.6,7.4,2.25,3.25,3.30,66%,34%,14,14,"['Sanchez', 'Webster', 'Duffy', 'Dunk', 'Moder', 'Lallana', 'Bissouma', 'Gross', 'Mac Allister', 'Trossard', 'Maupay']","['Pickford', 'Coleman', 'Holgate', 'Keane', 'Digne', 'Townsend', 'Doucoure', 'Allan', 'Gray', 'Richarlison', 'Calvert-Lewin']",3 - 4 - 2 - 1,4 - 4 - 1 - 1
25,Aston Villa,Brentford,0,1,1,6.8,6.9,2.00,3.25,4.00,46%,54%,7,9,"['Martinez', 'Cash', 'Konsa', 'Tuanzebe', 'Targett', 'Douglas Luiz', 'Buendia', 'Young', 'Chukwuemeka', 'El Ghazi', 'Ings']","['Raya', 'Ajer', 'Jansson', 'Pinnock', 'Canos', 'Norgaard', 'Janelt', 'Henry', 'Ghoddos', 'Mbeumo', 'Toney']",4 - 1 - 4 - 1,3 - 4 - 1 - 2
26,Liverpool,Chelsea,0,1,1,7.1,7.0,2.45,3.30,2.90,66%,34%,24,6,"['Alisson', 'Alexander-Arnold', 'Matip', 'van Dijk', 'Robertson', 'Elliott', 'Henderson', 'Fabinho', 'Salah', 'Firmino', 'Mane']","['Mendy', 'Azpilicueta', 'Christensen', 'Rudiger', 'James', 'Jorginho', 'Kante', 'Alonso', 'Mount', 'Havertz', 'Lukaku']",4 - 3 - 3,3 - 4 - 2 - 1
27,Tottenham,Watford,1,1,0,7.4,6.7,1.40,4.50,8.50,58%,42%,15,9,"['Lloris', 'Tanganga', 'Sanchez', 'Dier', 'Reguilon', 'Hojbjerg', 'Skipp', 'Son', 'Alli', 'Bergwijn', 'Kane']","['Bachmann', 'Cathcart', 'Troost-Ekong', 'Sierralta', 'Masina', 'Etebo', 'Sarr', 'Sissoko', 'Kucka', 'Dennis', 'King']",4 - 2 - 3 - 1,4 - 1 - 4 - 1
28,Burnley,Leeds,0,1,1,7.1,7.0,3.20,3.50,2.20,36%,64%,12,12,"['Pope', 'Lowton', 'Tarkowski', 'Mee', 'Taylor', 'Gudmundsson', 'Westwood', 'Brownhill', 'McNeil', 'Wood', 'Barnes']","['Meslier', 'Ayling', 'Llorente', 'Struijk', 'Cooper', 'Dallas', 'Raphinha', 'Rodrigo', 'Phillips', 'Harrison', 'Bamford']",4 - 4 - 2,5 - 4 - 1
29,Wolves,Manchester Utd,2,0,1,6.6,7.3,4.75,3.75,1.75,44%,56%,15,10,"['Sa', 'Kilman', 'Coady', 'Saiss', 'Semedo', 'Neves', 'Moutinho', 'Marcal', 'Trincao', 'Jimenez', 'Traore']","['de Gea', 'Wan-Bissaka', 'Varane', 'Maguire', 'Shaw', 'Pogba', 'Fred', 'James', 'Fernandes', 'Sancho', 'Greenwood']",3 - 4 - 3,4 - 2 - 3 - 1
30,Crystal Palace,Tottenham,1,3,0,7.2,6.4,3.80,3.40,2.05,62%,38%,18,2,"['Guaita', 'Ward', 'Andersen', 'Guehi', 'Mitchell', 'Gallagher', 'Kouyate', 'McArthur', 'Ayew', 'Benteke', 'Zaha']","['Lloris', 'Emerson Royal', 'Tanganga', 'Dier', 'Reguilon', 'Skipp', 'Hojbjerg', 'Winks', 'Alli', 'Lucas Moura', 'Kane']",4 - 3 - 3,4 - 1 - 2 - 1 - 2
31,Watford,Wolves,2,0,2,6.6,7.1,3.60,3.10,2.15,44%,56%,6,14,"['Bachmann', 'Ngakia', 'Troost-Ekong', 'Sierralta', 'Rose', 'Etebo', 'Sarr', 'Sissoko', 'Kucka', 'Dennis', 'King']","['Sa', 'Kilman', 'Coady', 'Saiss', 'Semedo', 'Neves', 'Moutinho', 'Marcal', 'Trincao', 'Jimenez', 'Traore']",4 - 1 - 4 - 1,3 - 4 - 3
32,Southampton,West Ham,0,0,0,7.1,7.1,3.00,3.50,2.30,42%,58%,11,13,"['McCarthy', 'Livramento', 'Stephens', 'Salisu', 'Perraud', 'Romeu', 'Redmond', 'Ward-Prowse', 'Elyounoussi', 'Djenepo', 'Armstrong']","['Fabianski', 'Coufal', 'Dawson', 'Ogbonna', 'Cresswell', 'Soucek', 'Rice', 'Bowen', 'Benrahma', 'Fornals', 'Antonio']",4 - 1 - 4 - 1,4 - 2 - 3 - 1
33,Manchester Utd,Newcastle,1,4,1,7.3,6.5,1.18,7.00,15.00,64%,36%,21,12,"['de Gea', 'Wan-Bissaka', 'Varane', 'Maguire', 'Shaw', 'Pogba', 'Matic', 'Greenwood', 'Fernandes', 'Sancho', 'Ronaldo']","['Woodman', 'Manquillo', 'Hayden', 'Lascelles', 'Clark', 'Ritchie', 'Almiron', 'Willock', 'Longstaff', 'Joelinton', 'Saint-Maximin']",4 - 2 - 3 - 1,5 - 4 - 1
